Handle This - Sum 41,Turn Around - Flo Rida,Angry All The Time - Tim McGraw
So Long Goodbye - Sum 41,Heroes - Tove Lo,Angry Worlds - Ten Years After
Best Of Me - Sum 41,Believer - Major Lazer,Unhappy Birthday - The Smiths
There's No Solution - Sum 41,Live Forever - Third Party,Walk - Pantera
Pieces - Sum 41,Young And Relentless - Against the Current,Congratulations - Traveling Wilburys
Lay Me Down - Sam Smith,One More Weekend - Against the Current,Dancing With A Wolf - All Time Low
If I Ever Feel Better - Phoenix,Forget and Not Slow Down - Relient K,Love Song - Sara Bareilles
How To Disappear Completely - Radiohead,if the House Burns Down Tonight - Switchfoot,Love The Way You Lie - Eminem
Liability - Lorde,Shut Up And Dance - WALK THE MOON,Smells Like Teen Spirit - Nirvana
Fix You - Coldplay,Rich Love - OneRepublic,I've Had It - Black Flag
Miss You - Ed Sheeran,House Party - Meek Mill,You Make Me Sick - P!nk
Choke - OneRepublic,Look Alive - Drake,There's No I In Team - Taking Back Sunday
Human - Christina Perri,Kd - Dave East,Drop The World - Lil Wayne
Human - OneRepublic,Floyd Money Mayweather - Dizzy Wright,Look Back In Anger - David Bowie
Goodbye - Air Supply,DNA - Kendrick Lamar,You Make Me Sick - Of Mice and Men
Fear - OneRepublic,Shell Shocked - Juicy J,You Will Never Be One Of Us - Nails
Goodbye - Laurel,Gang Up - Young Thug,I Don't Care - Apocalyptica
Goodbye - Avril Lavigne,Bars - Migos,The Devil You Know - Anthrax
Goodbye - Porches,El Chapo - The Game,Had Enough - Breaking Benjamin
Alone - Halsey,Mask Off - Future,Had Enough - The Who
Alone - Celine Dion,Rolex - Ayo & Teo,Psychosocial - Slipknot
Wake Me Up When September Ends - Green Day,Lit Right Now - Ayo & Teo,Not Afraid - Eminem
A Long December - Counting Crows,Rockstar - Post Malone,Victimized - Linkin Park
Yesterday - The Beatles,Zo2 - Zo2,Burn It Down - Linkin Park
Fade to Black - Metallica,Juju On That Beat - Zay Hilfigerr,Until It Breaks - Linkin Park
Hurt - Christina Aguilera,Bounce Back - Big Sean,Guilty All The Same - Linkin Park
Hurt - Johnny Cash,All The Way Up - Fat Joe,Final Masquerade - Linkin Park
From Where You Are - Lifehouse,Welcome To My Hood - DJ Khaled,Rebellion - Linkin Park
Anchor - Novo Amor,Flexicution - Logic,Move B*tch - Ludacris
Chasing Cars - Snow Patrol,Moves - Big Sean,Away From Me - Wintertime
The Scientist - Coldplay,Bodak Yellow - Cardi B,Hate My Life - Theory of a Deadman
Sad Song - Christina Perri,Wins & Losses - Meek Mill,Break - Three Days Grace
Come Home - OneRepublic,Both - Gucci Mane,Riot - Three Days Grace
I'm So Lonesome I Could Cry - Hank Williams,Ballin - Logic,Lifestyles of the Rich & Famous - Good Charlotte
Rivers and Roads - The Head And The Heart,Chun Li - Nicki Minaj,We're All To Blame - Sum 41
Empty - Olivia O'Brien,Devastated - Joey Bada$$,Makes No Difference - Sum 41
Hurt - Nine Inch Nails,We Dem Boyz - Wiz Khalifa,In Pieces - Linkin Park
Dark Times - The Weeknd,Fast Lane - Bad Meets Evil,Grenade - Bruno Mars
Rock Bottom - Eminem,Fast Car - Taio Cruz,Bitter - Palace
Summertime Sadness - Lana Del Rey,I’m So Excited - The Pointer Sisters,Bitter - Andy Mineo
Every Night - Paul McCartney,Bullet Soul - Switchfoot,Mad - Solange
